Chromosome	Position	273614N_S288C	322134S_S288C	378604X_S288C	AWRI796_S288C	S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	UWOPS87_2421_S288C	YPS128_S288C	YPS163_S288C	YPS606_S288C
@SC_CHRVI	210000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	220000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	230000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	240000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	250000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRVI	260000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	0	#32FF00	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00	#00FEFF	#00FEFF	#00FEFF
@SC_CHRXII	10000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	20000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	30000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	40000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	50000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	60000	#00FEFF	#32FF00	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	70000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	80000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	90000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	100000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	110000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	120000	#00FEFF	#00FEFF	#32FF00	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	130000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	140000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	150000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	160000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	170000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	180000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	190000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	200000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	210000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	220000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	230000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	240000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	250000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	260000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	270000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	280000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	290000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	300000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	310000	#00FEFF	#00FEFF	#FF0098	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	320000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	330000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	340000	#FF9900	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	350000	#FF9900	#00FEFF	#32FF00	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	360000	#32FF00	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	370000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	380000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	390000	#FF9900	#32FF00	#32FF00	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	400000	#FF9900	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	410000	#FF9900	#FF9900	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	420000	#FF9900	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	430000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF0098	#32FF00	#32FF00	#32FF00
@SC_CHRXII	440000	#32FF00	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	450000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	460000	#00FEFF	#FF9900	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	470000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	480000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	490000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	500000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	510000	#00FEFF	#FF9900	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	520000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	530000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	540000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	550000	#00FEFF	#00FEFF	#32FF00	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	560000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	570000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	580000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#FF9900	#FF9900	#FF9900
@SC_CHRXII	590000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	600000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	610000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	620000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	630000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	640000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	650000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	660000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	670000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	680000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	690000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	700000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	710000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	720000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	730000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	740000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	750000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	760000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	770000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF0098	#32FF00	#32FF00	#32FF00
@SC_CHRXII	780000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	790000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	800000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	810000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#FF0098	#32FF00	#32FF00	#32FF00
@SC_CHRXII	820000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	830000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	840000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	850000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	860000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	870000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	880000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	890000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	900000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	910000	#00FEFF	#00FEFF	#FF0098	#00FEFF	#FF0098	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	920000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	930000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	940000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	950000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	960000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	970000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	980000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	990000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1000000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1010000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1020000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF0098	#32FF00	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1030000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#FF0098	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1040000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1050000	#00FEFF	#00FEFF	#FF9900	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXII	1060000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	0	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#32FF00	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	10000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF9900	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXI	20000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#FF9900	#FF9900	#32FF00	#32FF00	#32FF00
@SC_CHRXI	30000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	40000	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	50000	#FF9900	#FF9900	#00FEFF	#FF9900	#00FEFF	#FF0098	#00FEFF	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	60000	#FF9900	#FF9900	#FF9900	#FF9900	#FF9900	#FF0098	#FF0098	#FF0098	#00FEFF	#00FEFF	#32FF00	#32FF00	#32FF00
@SC_CHRXI	70000	#00FEFF	#00FEFF	#32FF00	#00FEFF	#00FEFF	#FF0098	#FF0098	#FF0098	#32FF00	#00FEFF	#32FF00	#32FF00	#32FF00
