Chromosome	RefPosition	273614N_S288C	322134S_S288C	378604X_S288C	AWRI796_S288C	S288C	UWOPS03_461_4_S288C	UWOPS05_217_3_S288C	UWOPS05_227_2_S288C	UWOPS83_787_3_S288C	UWOPS87_2421_S288C	YPS128_S288C	YPS163_S288C	YPS606_S288C
SC_CHRIX	400000	64	48	48	66	180	81	81	81	43	59	48	61	48
SC_CHRIX	410000	60	51	19	65	235	68	68	68	48	56	46	129	46
SC_CHRIX	420000	121	68	5	136	277	137	140	137	126	131	68	62	68
SC_CHRIX	430000	19	136	0	151	223	51	61	54	54	48	9	15	10
SC_CHRVI	0	0	0	0	0	22	0	7	0	15	0	0	0	0
SC_CHRVI	10000	103	16	38	221	368	117	139	117	24	34	44	28	43
SC_CHRVI	20000	84	46	70	85	314	153	140	139	75	77	64	77	64
SC_CHRVI	30000	107	91	12	114	178	62	62	62	31	44	37	40	37
SC_CHRVI	40000	80	74	32	81	141	58	59	59	39	48	23	41	23
SC_CHRVI	50000	46	43	29	49	109	43	43	43	38	28	34	49	34
SC_CHRVI	60000	22	14	23	32	127	62	62	62	50	48	69	66	69
SC_CHRVI	70000	86	51	83	95	197	58	57	57	60	77	60	64	60
SC_CHRVI	80000	72	68	73	74	159	59	59	59	41	4	62	77	62
SC_CHRVI	90000	64	91	70	72	220	103	103	82	64	71	75	47	74
SC_CHRVI	100000	62	88	69	87	190	109	109	110	57	46	76	65	76
SC_CHRVI	110000	12	55	60	21	179	75	76	76	27	25	65	93	65
SC_CHRVI	120000	38	15	33	38	111	37	37	37	25	11	12	39	12
SC_CHRVI	130000	32	7	12	31	64	15	13	13	13	12	19	17	19
SC_CHRVI	140000	56	6	55	59	111	38	39	40	39	39	61	35	61
SC_CHRVI	150000	68	32	22	65	124	42	43	42	38	45	39	44	39
SC_CHRVI	160000	57	58	22	61	136	52	52	52	45	52	55	42	55
SC_CHRVI	170000	77	47	56	69	156	56	50	56	61	47	57	56	57
SC_CHRVI	180000	31	56	54	32	136	71	72	71	62	56	73	72	71
SC_CHRVI	190000	113	103	111	120	233	93	92	92	85	77	85	86	86
SC_CHRVI	200000	44	41	44	46	181	85	85	85	63	76	56	61	56
SC_CHRVI	210000	9	9	21	10	117	58	58	58	41	36	50	45	50
SC_CHRVI	220000	45	38	63	44	180	79	79	79	47	51	58	60	58
SC_CHRVI	230000	70	65	55	70	147	54	54	54	48	45	47	46	46
SC_CHRVI	240000	26	23	40	24	115	66	67	67	43	47	63	56	63
SC_CHRVI	250000	60	7	43	13	201	82	83	83	56	69	71	121	71
SC_CHRVI	260000	99	8	41	5	148	99	99	99	4	33	95	99	95
SC_CHRVI	270000	0	2	0	0	2	0	0	0	0	0	0	0	0
SC_CHRI	0	84	126	108	99	202	59	77	54	85	87	56	54	57
SC_CHRI	10000	79	37	115	30	484	111	164	91	118	32	120	64	74
SC_CHRI	20000	29	32	2	82	257	95	80	50	20	37	24	102	18
SC_CHRI	30000	146	120	82	168	296	84	85	84	85	126	101	88	101
SC_CHRI	40000	49	66	65	70	238	108	107	107	52	63	59	92	59
SC_CHRI	50000	52	86	83	90	181	52	52	52	61	49	50	63	50
SC_CHRI	60000	31	39	11	36	139	72	73	72	37	21	43	51	43
SC_CHRI	70000	19	23	15	23	129	70	70	70	25	18	69	77	69
SC_CHRI	80000	29	32	30	28	122	63	63	63	41	20	45	41	45
SC_CHRI	90000	11	5	3	5	124	69	69	69	67	62	76	57	76
SC_CHRI	100000	14	5	2	9	111	58	58	58	39	49	47	49	47
SC_CHRI	110000	20	17	11	14	127	64	63	63	51	60	68	28	68
SC_CHRI	120000	8	10	7	10	114	59	59	59	46	37	61	70	61
SC_CHRI	130000	18	74	52	81	147	39	61	30	45	73	35	33	35
SC_CHRI	140000	26	23	17	22	92	42	42	39	31	26	28	39	28
SC_CHRI	150000	37	76	22	77	144	57	52	57	28	66	50	56	50
SC_CHRI	160000	20	16	12	18	53	22	21	22	17	18	15	17	15
SC_CHRI	170000	23	44	35	45	157	54	52	52	46	55	54	60	54
SC_CHRI	180000	125	80	55	104	282	117	98	107	108	38	98	87	98
SC_CHRI	190000	138	184	152	188	393	195	193	196	160	43	185	126	182
SC_CHRI	200000	48	48	54	40	111	76	49	78	64	0	50	50	50
SC_CHRI	210000	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRI	220000	0	0	0	0	23	0	0	0	23	0	0	0	0
SC_CHRI	230000	0	0	0	0	1	0	1	0	0	0	0	0	0
SC_CHRXVI	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRXVI	10000	3	4	19	0	36	31	31	31	8	4	20	26	20
SC_CHRXVI	20000	4	22	168	13	332	201	202	201	127	8	193	183	188
SC_CHRXVI	30000	6	10	91	6	144	101	100	101	89	4	85	67	85
SC_CHRXVI	40000	0	26	48	7	159	83	83	83	57	4	57	52	56
SC_CHRXVI	50000	6	28	14	6	78	37	37	37	43	6	49	36	49
SC_CHRXVI	60000	7	26	30	10	177	45	43	43	38	9	126	129	127
SC_CHRXVI	70000	35	31	44	31	112	59	59	59	50	30	53	44	53
SC_CHRXVI	80000	89	17	88	12	128	88	88	88	47	9	68	67	68
SC_CHRXVI	90000	28	48	29	48	116	41	41	41	36	47	33	34	33
SC_CHRXVI	100000	37	76	39	78	152	56	56	56	37	56	33	41	33
SC_CHRXVI	110000	19	50	18	55	119	54	54	54	20	23	21	20	21
SC_CHRXVI	120000	23	60	25	59	136	44	44	44	30	40	33	43	33
SC_CHRXVI	130000	57	13	24	17	158	68	68	70	46	23	50	69	50
SC_CHRXVI	140000	69	7	45	9	155	68	68	68	62	68	63	53	63
SC_CHRXVI	150000	41	14	41	8	109	39	39	39	40	32	40	50	40
SC_CHRXVI	160000	79	7	89	4	160	90	89	90	76	72	83	75	84
SC_CHRXVI	170000	48	26	47	17	97	41	41	41	36	35	45	44	45
SC_CHRXVI	180000	43	39	50	15	120	48	48	49	33	42	48	51	49
SC_CHRXVI	190000	73	21	64	19	177	82	74	82	56	76	68	80	68
SC_CHRXVI	200000	78	11	70	10	175	39	39	39	22	36	41	76	41
SC_CHRXVI	210000	65	16	44	15	177	76	76	76	64	60	74	57	74
SC_CHRXVI	220000	64	14	39	11	153	64	64	64	49	64	52	56	52
SC_CHRXVI	230000	54	53	49	48	152	81	81	81	67	50	59	61	59
SC_CHRXVI	240000	51	25	23	30	118	52	52	52	44	48	52	47	52
SC_CHRXVI	250000	70	23	48	26	151	65	65	65	65	74	72	70	72
SC_CHRXVI	260000	53	20	48	27	115	50	50	50	41	56	51	61	51
SC_CHRXVI	270000	45	38	38	44	120	48	48	48	48	45	45	45	45
SC_CHRXVI	280000	45	29	41	28	134	58	61	60	30	19	56	46	56
SC_CHRXVI	290000	66	16	47	7	155	73	73	73	55	9	59	68	59
SC_CHRXVI	300000	57	10	56	9	121	71	69	71	65	52	70	66	70
SC_CHRXVI	310000	41	8	39	6	104	53	53	53	41	46	41	44	41
SC_CHRXVI	320000	73	6	22	9	148	84	83	83	85	79	78	79	78
SC_CHRXVI	330000	62	22	18	25	172	93	93	93	52	55	61	57	61
SC_CHRXVI	340000	55	9	36	12	235	162	162	163	49	27	65	61	65
SC_CHRXVI	350000	41	20	32	26	146	74	76	75	61	28	68	62	68
SC_CHRXVI	360000	18	22	32	23	121	59	59	59	33	54	50	49	50
SC_CHRXVI	370000	63	54	36	49	126	42	43	40	23	17	25	30	25
SC_CHRXVI	380000	39	41	33	39	110	54	51	54	47	34	44	41	44
SC_CHRXVI	390000	16	34	12	15	69	33	33	33	18	23	25	22	25
SC_CHRXVI	400000	10	52	16	18	128	51	53	53	46	44	49	50	50
SC_CHRXVI	410000	10	38	14	7	87	55	55	55	30	42	31	31	31
SC_CHRXVI	420000	38	61	27	41	125	54	54	54	47	57	59	58	59
SC_CHRXVI	430000	38	32	28	36	83	36	36	36	23	23	25	30	25
SC_CHRXVI	440000	35	16	35	35	73	32	32	32	10	6	15	28	15
SC_CHRXVI	450000	34	33	37	41	130	73	73	73	63	68	67	65	67
SC_CHRXVI	460000	41	39	35	46	112	48	48	44	25	13	33	23	33
SC_CHRXVI	470000	52	53	46	55	135	48	51	51	47	20	50	45	50
SC_CHRXVI	480000	51	53	46	57	152	42	41	42	45	22	35	62	35
SC_CHRXVI	490000	39	41	38	46	112	37	36	36	38	33	27	38	27
SC_CHRXVI	500000	56	45	67	71	157	44	43	44	44	24	44	75	44
SC_CHRXVI	510000	75	38	70	75	137	42	33	42	41	62	37	37	37
SC_CHRXVI	520000	45	88	47	21	182	83	85	90	68	72	64	67	64
SC_CHRXVI	530000	40	43	38	24	103	63	63	63	57	56	56	49	56
SC_CHRXVI	540000	48	80	38	18	126	60	60	60	52	48	53	48	53
SC_CHRXVI	550000	46	58	29	7	114	42	42	42	46	42	45	28	45
SC_CHRXVI	560000	54	24	47	24	111	62	61	63	60	57	62	63	61
SC_CHRXVI	570000	80	6	8	0	108	86	86	86	85	85	83	84	83
SC_CHRXVI	580000	145	10	26	10	230	128	128	128	141	142	125	123	125
SC_CHRXVI	590000	84	6	77	6	156	91	90	90	86	90	98	90	98
SC_CHRXVI	600000	48	28	45	23	120	50	50	50	48	51	54	57	54
SC_CHRXVI	610000	81	15	37	11	136	86	86	86	74	79	84	81	84
SC_CHRXVI	620000	88	22	18	18	182	59	59	59	85	81	82	79	82
SC_CHRXVI	630000	37	7	6	6	119	34	34	34	27	27	39	64	39
SC_CHRXVI	640000	22	12	14	9	84	48	48	48	38	24	34	38	34
SC_CHRXVI	650000	24	22	37	14	149	69	69	69	60	44	51	56	52
SC_CHRXVI	660000	8	12	11	15	92	56	56	56	29	15	42	45	42
SC_CHRXVI	670000	11	4	2	3	125	68	68	69	44	17	64	57	64
SC_CHRXVI	680000	11	11	7	9	127	74	72	71	23	4	71	64	71
SC_CHRXVI	690000	15	27	29	12	107	64	63	64	50	20	61	32	61
SC_CHRXVI	700000	53	11	12	7	107	55	46	55	40	27	57	46	55
SC_CHRXVI	710000	13	27	12	12	88	40	39	39	43	3	44	30	44
SC_CHRXVI	720000	41	14	15	15	99	57	57	57	50	13	60	58	60
SC_CHRXVI	730000	44	20	23	16	100	49	49	49	50	15	51	51	51
SC_CHRXVI	740000	53	25	31	28	113	60	59	61	62	37	62	59	62
SC_CHRXVI	750000	63	29	24	20	120	75	75	76	71	53	74	63	74
SC_CHRXVI	760000	28	7	2	18	73	33	33	34	14	27	29	29	29
SC_CHRXVI	770000	16	11	3	15	113	60	60	60	44	48	53	62	53
SC_CHRXVI	780000	42	8	4	9	130	77	78	77	56	50	54	46	54
SC_CHRXVI	790000	34	10	18	8	114	62	62	62	55	58	62	62	62
SC_CHRXVI	800000	3	10	2	2	93	50	50	50	43	47	51	62	51
SC_CHRXVI	810000	30	12	10	14	113	53	56	56	40	51	46	52	45
SC_CHRXVI	820000	47	12	21	7	117	58	58	58	62	49	57	71	57
SC_CHRXVI	830000	3	34	19	5	93	45	45	45	41	42	40	40	40
SC_CHRXVI	840000	21	11	15	0	83	39	39	39	16	7	16	27	16
SC_CHRXVI	850000	10	8	9	3	24	6	8	5	7	10	9	9	5
SC_CHRXVI	860000	43	30	24	4	95	44	45	45	38	14	38	36	38
SC_CHRXVI	870000	58	22	0	7	114	69	69	69	59	41	52	44	53
SC_CHRXVI	880000	99	14	3	4	182	76	74	76	95	45	101	86	101
SC_CHRXVI	890000	48	10	68	13	138	76	75	76	32	14	73	76	73
SC_CHRXVI	900000	53	12	40	47	163	83	82	83	56	18	76	72	76
SC_CHRXVI	910000	44	15	55	18	113	59	59	59	34	4	46	39	46
SC_CHRXVI	920000	59	64	86	72	282	136	136	137	122	85	112	113	112
SC_CHRXVI	930000	67	11	81	22	254	106	112	109	85	112	114	110	113
SC_CHRXVI	940000	4	2	21	4	54	13	4	2	25	12	22	22	21
SC_CHRIII	0	4	47	58	2	92	0	3	0	38	54	0	4	18
SC_CHRIII	10000	7	40	97	13	167	80	80	80	80	88	85	84	86
SC_CHRIII	20000	3	80	66	5	129	69	69	69	59	64	73	51	73
SC_CHRIII	30000	9	60	8	13	129	70	70	70	58	52	60	52	60
SC_CHRIII	40000	13	30	21	23	125	64	64	64	50	23	46	56	46
SC_CHRIII	50000	25	34	21	32	131	55	55	55	43	47	51	50	51
SC_CHRIII	60000	12	16	39	17	137	93	92	96	54	37	50	52	50
SC_CHRIII	70000	30	23	45	25	147	61	58	61	47	41	66	62	66
SC_CHRIII	80000	10	33	30	18	85	27	40	27	31	28	37	37	34
SC_CHRIII	90000	45	23	5	53	108	32	32	32	34	22	41	33	42
SC_CHRIII	100000	41	38	37	21	96	50	50	50	38	47	45	27	45
SC_CHRIII	110000	84	85	83	8	183	84	84	84	69	70	82	76	82
SC_CHRIII	120000	26	42	49	5	121	60	60	60	50	51	50	48	50
SC_CHRIII	130000	14	37	34	10	84	30	30	30	25	28	26	27	26
SC_CHRIII	140000	10	64	12	13	159	36	44	36	35	33	53	63	53
SC_CHRIII	150000	25	52	39	14	148	79	76	76	45	44	64	57	64
SC_CHRIII	160000	21	14	35	12	133	48	48	48	39	43	35	45	35
SC_CHRIII	170000	10	17	47	9	137	49	39	50	40	46	48	71	49
SC_CHRIII	180000	26	23	41	22	121	65	65	59	49	41	57	56	57
SC_CHRIII	190000	18	2	33	9	78	43	43	43	25	35	37	33	37
SC_CHRIII	200000	28	16	24	11	150	77	77	77	65	30	74	75	74
SC_CHRIII	210000	47	20	71	19	147	54	55	54	62	58	62	62	62
SC_CHRIII	220000	55	16	58	10	174	81	82	82	72	42	86	104	86
SC_CHRIII	230000	24	19	36	27	129	58	59	59	43	50	46	46	45
SC_CHRIII	240000	54	50	44	62	151	56	54	57	44	36	47	37	47
SC_CHRIII	250000	57	56	24	61	118	54	54	54	28	31	35	32	35
SC_CHRIII	260000	28	47	57	44	163	67	67	63	31	29	48	55	48
SC_CHRIII	270000	2	9	68	11	191	68	68	68	49	61	74	107	74
SC_CHRIII	280000	7	22	40	8	128	62	62	62	41	41	41	43	41
SC_CHRIII	290000	28	39	68	28	322	202	186	202	74	76	68	51	69
SC_CHRIII	300000	60	26	66	12	168	70	70	71	68	76	63	53	65
SC_CHRIII	310000	6	52	35	2	206	128	128	128	45	126	21	88	21
SC_CHRVIII	0	3	42	24	25	94	0	9	9	5	8	41	42	41
SC_CHRVIII	10000	66	95	74	70	219	95	97	96	67	74	92	81	92
SC_CHRVIII	20000	23	34	32	20	161	81	81	81	56	66	92	42	92
SC_CHRVIII	30000	41	69	78	28	165	84	84	84	42	75	72	65	72
SC_CHRVIII	40000	41	59	49	43	150	60	60	60	51	51	63	46	63
SC_CHRVIII	50000	32	49	57	42	204	90	90	90	80	59	71	84	71
SC_CHRVIII	60000	27	59	40	62	138	69	69	69	46	41	42	35	42
SC_CHRVIII	70000	60	33	74	34	158	88	88	88	65	94	80	54	78
SC_CHRVIII	80000	35	49	46	56	84	34	33	34	36	51	27	27	27
SC_CHRVIII	90000	226	249	250	256	309	208	227	227	238	250	230	229	231
SC_CHRVIII	100000	34	45	36	44	111	45	43	42	43	33	40	42	40
SC_CHRVIII	110000	67	24	65	30	152	80	80	80	42	65	75	67	75
SC_CHRVIII	120000	40	32	22	40	131	63	56	60	31	23	45	56	45
SC_CHRVIII	130000	25	66	0	69	157	67	67	67	54	12	53	42	53
SC_CHRVIII	140000	90	19	6	23	163	76	76	76	45	38	83	57	83
SC_CHRVIII	150000	42	89	0	94	161	88	80	85	75	90	29	26	30
SC_CHRVIII	160000	37	50	0	78	137	40	48	40	55	38	41	41	41
SC_CHRVIII	170000	62	70	43	79	194	67	67	67	67	22	37	68	37
SC_CHRVIII	180000	26	46	50	60	128	46	46	46	51	41	28	23	28
SC_CHRVIII	190000	27	20	37	28	142	76	76	76	34	23	56	46	56
SC_CHRVIII	200000	53	15	17	16	146	71	68	69	16	17	66	60	66
SC_CHRVIII	210000	54	29	18	33	115	50	50	52	31	23	55	51	55
SC_CHRVIII	220000	30	39	37	36	134	62	63	62	40	56	50	55	50
SC_CHRVIII	230000	59	4	12	8	117	68	65	68	2	47	68	38	68
SC_CHRVIII	240000	36	8	38	5	100	55	56	55	20	41	44	40	44
SC_CHRVIII	250000	52	30	52	9	125	71	71	71	47	57	46	32	46
SC_CHRVIII	260000	38	17	46	2	114	50	50	50	47	55	49	50	49
SC_CHRVIII	270000	3	4	36	4	82	43	42	43	30	39	46	45	46
SC_CHRVIII	280000	9	12	26	12	84	36	36	36	33	42	35	43	35
SC_CHRVIII	290000	2	35	46	3	149	87	77	87	83	103	79	48	79
SC_CHRVIII	300000	0	9	27	5	82	28	20	28	33	42	38	45	38
SC_CHRVIII	310000	1	18	61	20	117	63	31	63	52	62	55	62	56
SC_CHRVIII	320000	1	11	41	6	129	56	52	56	33	34	42	62	42
SC_CHRVIII	330000	14	16	16	16	136	67	49	67	21	45	58	86	58
SC_CHRVIII	340000	1	15	1	5	119	67	30	67	57	45	58	49	58
SC_CHRVIII	350000	8	7	8	5	125	67	65	67	61	42	64	66	64
SC_CHRVIII	360000	4	17	5	7	128	59	59	59	58	64	65	64	65
SC_CHRVIII	370000	4	4	12	12	144	76	76	76	64	71	73	69	74
SC_CHRVIII	380000	62	89	38	87	182	55	65	59	58	40	27	37	32
SC_CHRVIII	390000	15	84	75	73	176	43	56	58	61	38	38	49	48
SC_CHRVIII	400000	25	47	44	48	132	35	35	35	30	41	33	48	33
SC_CHRVIII	410000	35	19	39	23	115	40	40	40	35	40	32	31	32
SC_CHRVIII	420000	42	37	35	40	172	50	48	50	39	41	46	61	46
SC_CHRVIII	430000	55	45	16	44	113	31	32	31	37	38	57	52	57
SC_CHRVIII	440000	42	14	45	24	91	45	42	44	35	45	48	44	48
SC_CHRVIII	450000	69	11	38	11	170	80	84	80	59	93	79	80	79
SC_CHRVIII	460000	94	45	64	42	185	73	73	83	63	74	66	66	66
SC_CHRVIII	470000	31	6	5	7	88	42	42	42	38	32	40	40	39
SC_CHRVIII	480000	54	19	16	19	113	48	48	48	43	22	56	49	56
SC_CHRVIII	490000	32	2	5	11	106	64	64	65	34	14	54	51	54
SC_CHRVIII	500000	23	14	12	10	96	54	54	54	43	0	45	48	45
SC_CHRVIII	510000	53	30	25	33	131	64	63	63	46	18	44	48	44
SC_CHRVIII	520000	100	26	32	17	260	62	62	62	62	21	93	154	93
SC_CHRVIII	530000	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRVIII	540000	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_CHRVIII	550000	2	2	1	1	103	68	32	66	2	2	6	0	2
SC_CHRXI	0	42	71	68	50	138	46	46	46	50	42	31	35	31
SC_CHRXI	10000	82	107	113	109	220	72	72	72	45	12	48	31	48
SC_CHRXI	20000	84	39	75	93	197	93	93	93	50	26	63	80	63
SC_CHRXI	30000	33	31	38	43	123	67	67	67	47	47	56	56	56
SC_CHRXI	40000	34	67	3	98	184	62	61	61	63	53	53	48	53
SC_CHRXI	50000	26	32	1	38	91	42	21	42	29	38	20	32	20
SC_CHRXI	60000	49	45	28	34	192	108	82	108	65	31	75	86	84
SC_CHRXI	70000	28	28	50	51	213	73	71	72	72	34	61	113	61
SC_CHRXI	80000	73	65	68	86	193	75	75	75	68	60	65	60	65
SC_CHRXI	90000	89	86	51	86	191	91	92	91	75	83	90	100	90
SC_CHRXI	100000	21	28	21	31	65	22	22	22	24	27	33	29	33
SC_CHRXI	110000	31	47	5	53	113	35	35	35	26	30	15	24	15
SC_CHRXI	120000	32	35	0	61	135	47	47	47	21	27	30	39	30
SC_CHRXI	130000	61	43	8	54	121	47	48	47	35	54	49	43	49
SC_CHRXI	140000	94	101	84	99	218	97	74	97	41	89	41	51	41
SC_CHRXI	150000	28	33	27	31	101	48	47	48	31	26	38	37	38
SC_CHRXI	160000	27	30	5	7	94	45	43	45	22	6	40	34	40
SC_CHRXI	170000	48	40	48	45	137	56	57	56	47	52	52	52	52
SC_CHRXI	180000	35	39	44	40	99	27	25	27	26	41	36	35	36
SC_CHRXI	190000	51	34	54	39	118	61	61	61	55	37	52	51	52
SC_CHRXI	200000	53	42	22	51	149	51	51	51	61	26	69	72	69
SC_CHRXI	210000	58	72	30	83	146	53	51	52	51	39	55	36	55
SC_CHRXI	220000	62	62	55	61	136	65	66	68	38	24	36	39	37
SC_CHRXI	230000	76	90	24	96	212	91	91	93	33	31	33	51	33
SC_CHRXI	240000	28	52	30	82	144	59	58	58	37	34	39	34	39
SC_CHRXI	250000	30	22	37	58	151	45	45	45	29	24	51	52	51
SC_CHRXI	260000	46	34	59	82	146	55	55	55	32	46	41	47	41
SC_CHRXI	270000	57	37	67	51	149	83	82	83	60	65	60	56	60
SC_CHRXI	280000	10	4	28	6	91	53	53	54	51	34	52	55	52
SC_CHRXI	290000	8	3	33	7	82	50	50	50	45	39	47	47	47
SC_CHRXI	300000	22	15	13	21	116	74	74	75	65	65	71	67	72
SC_CHRXI	310000	95	104	129	129	212	109	109	130	108	97	91	90	96
SC_CHRXI	320000	24	33	15	18	171	82	82	82	50	51	71	87	71
SC_CHRXI	330000	9	24	5	15	143	79	79	80	59	46	57	48	57
SC_CHRXI	340000	46	55	28	6	122	67	67	67	55	58	60	31	60
SC_CHRXI	350000	48	60	51	47	215	93	93	94	39	47	61	87	61
SC_CHRXI	360000	6	66	7	61	181	110	110	110	91	91	101	101	101
SC_CHRXI	370000	57	44	56	68	160	47	65	47	51	33	55	64	55
SC_CHRXI	380000	78	33	78	74	137	44	44	45	41	39	37	37	37
SC_CHRXI	390000	83	22	62	84	172	46	45	46	44	57	40	67	39
SC_CHRXI	400000	46	39	47	50	124	41	39	39	19	25	35	47	35
SC_CHRXI	410000	63	33	64	65	110	42	42	42	31	54	32	35	32
SC_CHRXI	420000	33	16	35	39	92	23	21	23	28	35	17	36	17
SC_CHRXI	430000	36	35	33	37	94	42	39	42	40	36	42	43	42
SC_CHRXI	440000	20	29	17	12	90	49	49	49	23	15	41	42	41
SC_CHRXI	450000	13	52	4	10	98	51	51	51	23	12	40	48	40
SC_CHRXI	460000	9	46	23	21	159	70	70	69	53	20	66	85	66
SC_CHRXI	470000	17	55	31	29	118	51	51	51	43	7	57	34	57
SC_CHRXI	480000	13	66	15	18	151	74	74	74	44	14	60	59	60
SC_CHRXI	490000	8	64	10	6	144	70	70	70	59	4	67	54	67
SC_CHRXI	500000	64	42	52	67	152	49	49	49	61	54	41	67	41
SC_CHRXI	510000	43	55	17	68	159	63	58	63	47	49	41	40	42
SC_CHRXI	520000	31	39	10	53	135	25	25	25	31	37	24	72	24
SC_CHRXI	530000	26	36	16	37	75	28	28	28	23	27	24	19	24
SC_CHRXI	540000	3	53	4	53	116	50	49	49	47	54	53	49	53
SC_CHRXI	550000	14	57	11	60	117	56	56	56	50	56	51	46	51
SC_CHRXI	560000	52	49	46	49	115	49	49	49	47	46	50	55	50
SC_CHRXI	570000	11	54	58	76	136	63	62	62	37	30	48	47	48
SC_CHRXI	580000	54	70	46	44	170	88	88	88	73	66	72	82	72
SC_CHRXI	590000	0	42	42	55	113	39	39	39	36	21	31	34	31
SC_CHRXI	600000	23	30	41	42	96	43	43	43	32	21	34	35	34
SC_CHRXI	610000	68	57	62	77	194	48	48	49	57	59	37	65	38
SC_CHRXI	620000	46	55	35	56	174	66	66	66	40	49	55	71	55
SC_CHRXI	630000	42	28	28	45	108	30	29	30	24	30	24	22	24
SC_CHRXI	640000	23	14	56	18	148	46	9	51	40	46	45	50	44
SC_CHRXI	650000	53	48	68	18	120	50	56	48	59	58	63	78	64
SC_CHRXI	660000	0	0	0	1	6	0	0	5	0	0	0	0	0
SC_CHRXIII	0	2	4	21	2	54	37	9	8	28	16	26	25	27
SC_CHRXIII	10000	4	27	64	7	135	78	78	78	68	64	71	72	71
SC_CHRXIII	20000	87	73	96	20	185	123	122	122	96	89	106	114	105
SC_CHRXIII	30000	36	41	26	48	126	71	70	70	49	38	39	37	39
SC_CHRXIII	40000	36	32	32	39	172	51	51	51	64	70	44	59	43
SC_CHRXIII	50000	60	36	58	58	146	48	48	48	39	42	44	65	44
SC_CHRXIII	60000	39	50	39	41	153	74	74	74	46	41	65	71	66
SC_CHRXIII	70000	52	35	54	61	166	89	89	89	62	55	75	46	75
SC_CHRXIII	80000	26	44	68	69	154	58	57	57	44	41	41	44	41
SC_CHRXIII	90000	13	59	67	55	140	51	51	51	31	31	28	28	28
SC_CHRXIII	100000	9	52	48	53	113	49	49	49	29	45	39	35	39
