Chromosome	RefPosition	3142	ARI	ARI.MG	B41	B73	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
TGME49_CHRII	430000	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
TGME49_CHRII	440000	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
TGME49_CHRII	450000	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119
TGME49_CHRII	460000	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
TGME49_CHRII	470000	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
TGME49_CHRII	480000	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
TGME49_CHRII	490000	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103
TGME49_CHRII	500000	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81
TGME49_CHRII	510000	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86
TGME49_CHRII	520000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRII	530000	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103
TGME49_CHRII	540000	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
TGME49_CHRII	550000	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53
TGME49_CHRII	560000	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
TGME49_CHRII	570000	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115
TGME49_CHRII	580000	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157
TGME49_CHRII	590000	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153	153
TGME49_CHRII	600000	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
TGME49_CHRII	610000	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
TGME49_CHRII	620000	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96
TGME49_CHRII	630000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRII	640000	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139
TGME49_CHRII	650000	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203
TGME49_CHRII	660000	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185
TGME49_CHRII	670000	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234	234
TGME49_CHRII	680000	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169
TGME49_CHRII	690000	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144
TGME49_CHRII	700000	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170
TGME49_CHRII	710000	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139
TGME49_CHRII	720000	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194
TGME49_CHRII	730000	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178
TGME49_CHRII	740000	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174	174
TGME49_CHRII	750000	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189
TGME49_CHRII	760000	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173
TGME49_CHRII	770000	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158
TGME49_CHRII	780000	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
TGME49_CHRII	790000	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103
TGME49_CHRII	800000	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134
TGME49_CHRII	810000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRII	820000	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
TGME49_CHRII	830000	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161
TGME49_CHRII	840000	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115
TGME49_CHRII	850000	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109
TGME49_CHRII	860000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRII	870000	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87
TGME49_CHRII	880000	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222
TGME49_CHRII	890000	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184
TGME49_CHRII	900000	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216
TGME49_CHRII	910000	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177	177
TGME49_CHRII	920000	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
TGME49_CHRII	930000	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
TGME49_CHRII	940000	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
TGME49_CHRII	950000	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169
TGME49_CHRII	960000	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172
TGME49_CHRII	970000	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119
TGME49_CHRII	980000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRII	990000	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
TGME49_CHRII	1000000	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
TGME49_CHRII	1010000	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152
TGME49_CHRII	1020000	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145
TGME49_CHRII	1030000	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137
TGME49_CHRII	1040000	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159	159
TGME49_CHRII	1050000	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169
TGME49_CHRII	1060000	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166	166
TGME49_CHRII	1070000	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
TGME49_CHRII	1080000	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
TGME49_CHRII	1090000	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
TGME49_CHRII	1100000	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197
TGME49_CHRII	1110000	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154	154
TGME49_CHRII	1120000	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206	206
TGME49_CHRII	1130000	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173
TGME49_CHRII	1140000	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178
TGME49_CHRII	1150000	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189	189
TGME49_CHRII	1160000	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235	235
TGME49_CHRII	1170000	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214
TGME49_CHRII	1180000	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222	222
TGME49_CHRII	1190000	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196	196
TGME49_CHRII	1200000	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217
TGME49_CHRII	1210000	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167
TGME49_CHRII	1220000	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
TGME49_CHRII	1230000	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181	181
TGME49_CHRII	1240000	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161	161
TGME49_CHRII	1250000	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147	147
TGME49_CHRII	1260000	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178
TGME49_CHRII	1270000	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143
TGME49_CHRII	1280000	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
TGME49_CHRII	1290000	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
TGME49_CHRII	1300000	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
TGME49_CHRII	1310000	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
TGME49_CHRII	1320000	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71
TGME49_CHRII	1330000	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
TGME49_CHRII	1340000	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
TGME49_CHRII	1350000	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
TGME49_CHRII	1360000	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56
TGME49_CHRII	1370000	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
TGME49_CHRII	1380000	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74
TGME49_CHRII	1390000	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
TGME49_CHRII	1400000	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143	143
TGME49_CHRII	1410000	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96
TGME49_CHRII	1420000	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
TGME49_CHRII	1430000	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
TGME49_CHRII	1440000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRII	1450000	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
TGME49_CHRII	1460000	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
TGME49_CHRII	1470000	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298
TGME49_CHRII	1480000	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
TGME49_CHRII	1490000	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
TGME49_CHRII	1500000	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
TGME49_CHRII	1510000	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
TGME49_CHRII	1520000	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
TGME49_CHRII	1530000	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
TGME49_CHRII	1540000	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138
TGME49_CHRII	1550000	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122
TGME49_CHRII	1560000	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168
TGME49_CHRII	1570000	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127
TGME49_CHRII	1580000	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137	137
TGME49_CHRII	1590000	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188
TGME49_CHRII	1600000	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208
TGME49_CHRII	1610000	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184
TGME49_CHRII	1620000	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157	157
TGME49_CHRII	1630000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRII	1640000	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184	184
TGME49_CHRII	1650000	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107
TGME49_CHRII	1660000	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123
TGME49_CHRII	1670000	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197
TGME49_CHRII	1680000	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163	163
TGME49_CHRII	1690000	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
TGME49_CHRII	1700000	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
TGME49_CHRII	1710000	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85
TGME49_CHRII	1720000	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
TGME49_CHRII	1730000	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
TGME49_CHRII	1740000	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126	126
TGME49_CHRII	1750000	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
TGME49_CHRII	1760000	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129
TGME49_CHRII	1770000	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
TGME49_CHRII	1780000	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127
TGME49_CHRII	1790000	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191
TGME49_CHRII	1800000	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223	223
TGME49_CHRII	1810000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRII	1820000	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197
TGME49_CHRII	1830000	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
TGME49_CHRII	1840000	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201
TGME49_CHRII	1850000	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179
TGME49_CHRII	1860000	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155
TGME49_CHRII	1870000	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139
TGME49_CHRII	1880000	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134
TGME49_CHRII	1890000	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
TGME49_CHRII	1900000	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71
TGME49_CHRII	1910000	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132	132
TGME49_CHRII	1920000	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
TGME49_CHRII	1930000	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139
TGME49_CHRII	1940000	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151	151
TGME49_CHRII	1950000	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111
TGME49_CHRII	1960000	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129	129
TGME49_CHRII	1970000	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
TGME49_CHRII	1980000	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210	210
TGME49_CHRII	1990000	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145
TGME49_CHRII	2000000	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169	169
TGME49_CHRII	2010000	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155	155
TGME49_CHRII	2020000	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
TGME49_CHRII	2030000	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
TGME49_CHRII	2040000	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109
TGME49_CHRII	2050000	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123
TGME49_CHRII	2060000	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
TGME49_CHRII	2070000	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
TGME49_CHRII	2080000	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
TGME49_CHRII	2090000	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
TGME49_CHRII	2100000	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79
TGME49_CHRII	2110000	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
TGME49_CHRII	2120000	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103
TGME49_CHRII	2130000	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRII	2140000	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93
TGME49_CHRII	2150000	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
TGME49_CHRII	2160000	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
TGME49_CHRII	2170000	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108
TGME49_CHRII	2180000	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
TGME49_CHRII	2190000	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81
TGME49_CHRII	2200000	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRII	2210000	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77
TGME49_CHRII	2220000	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRII	2230000	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57
TGME49_CHRII	2240000	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
TGME49_CHRII	2250000	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRII	2260000	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
TGME49_CHRII	2270000	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
TGME49_CHRII	2280000	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
TGME49_CHRII	2290000	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
TGME49_CHRII	2300000	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
TGME49_CHRII	2310000	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
TGME49_CHRII	2320000	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
TGME49_CHRII	2330000	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44
TGME49_CHRII	2340000	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
TGME49_CHRXII	0	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRXII	10000	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111
TGME49_CHRXII	20000	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
TGME49_CHRXII	30000	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
TGME49_CHRXII	40000	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
TGME49_CHRXII	50000	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53
TGME49_CHRXII	60000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRXII	70000	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140
TGME49_CHRXII	80000	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228
TGME49_CHRXII	90000	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201
TGME49_CHRXII	100000	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
TGME49_CHRXII	110000	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185
TGME49_CHRXII	120000	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
TGME49_CHRXII	130000	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127
TGME49_CHRXII	140000	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
TGME49_CHRXII	150000	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187
TGME49_CHRXII	160000	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
TGME49_CHRXII	170000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRXII	180000	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114
TGME49_CHRXII	190000	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
TGME49_CHRXII	200000	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
TGME49_CHRXII	210000	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
